Web Search interest: abuse
United Kingdom Past hour

Interest over time
Time,abuse
2016-01-06-12:28 UTC,64
2016-01-06-12:29 UTC,70
2016-01-06-12:30 UTC,52
2016-01-06-12:31 UTC,32
2016-01-06-12:32 UTC,32
2016-01-06-12:33 UTC,57
2016-01-06-12:34 UTC,38
2016-01-06-12:35 UTC,83
2016-01-06-12:36 UTC,38
2016-01-06-12:37 UTC,44
2016-01-06-12:38 UTC,31
2016-01-06-12:39 UTC,82
2016-01-06-12:40 UTC,50
2016-01-06-12:41 UTC,57
2016-01-06-12:42 UTC,57
2016-01-06-12:43 UTC,56
2016-01-06-12:44 UTC,44
2016-01-06-12:45 UTC,88
2016-01-06-12:46 UTC,56
2016-01-06-12:47 UTC,56
2016-01-06-12:48 UTC,50
2016-01-06-12:49 UTC,69
2016-01-06-12:50 UTC,38
2016-01-06-12:51 UTC,51
2016-01-06-12:52 UTC,70
2016-01-06-12:53 UTC,64
2016-01-06-12:54 UTC,44
2016-01-06-12:55 UTC,45
2016-01-06-12:56 UTC,57
2016-01-06-12:57 UTC,63
2016-01-06-12:58 UTC,81
2016-01-06-12:59 UTC,44
2016-01-06-13:00 UTC,57
2016-01-06-13:01 UTC,56
2016-01-06-13:02 UTC,81
2016-01-06-13:03 UTC,44
2016-01-06-13:04 UTC,70
2016-01-06-13:05 UTC,63
2016-01-06-13:06 UTC,38
2016-01-06-13:07 UTC,25
2016-01-06-13:08 UTC,75
2016-01-06-13:09 UTC,12
2016-01-06-13:10 UTC,100
2016-01-06-13:11 UTC,44
2016-01-06-13:12 UTC,43
2016-01-06-13:13 UTC,74
2016-01-06-13:14 UTC,31
2016-01-06-13:15 UTC,56
2016-01-06-13:16 UTC,74
2016-01-06-13:17 UTC,31
2016-01-06-13:18 UTC,37
2016-01-06-13:19 UTC,50
2016-01-06-13:20 UTC,31
2016-01-06-13:21 UTC,43
2016-01-06-13:22 UTC,43
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for abuse
Sub-region,abuse
Northern Ireland,100
Wales,93
England,79
Scotland,73


Top cities for abuse
Town/City,abuse
London,100









