Web Search interest: antidepressants
United Kingdom Past hour

Interest over time
Time,antidepressants
2016-01-06-12:28 UTC,25
2016-01-06-12:29 UTC,25
2016-01-06-12:30 UTC,25
2016-01-06-12:31 UTC,25
2016-01-06-12:32 UTC,50
2016-01-06-12:33 UTC,50
2016-01-06-12:34 UTC,50
2016-01-06-12:35 UTC,100
2016-01-06-12:36 UTC,75
2016-01-06-12:37 UTC,25
2016-01-06-12:38 UTC,49
2016-01-06-12:39 UTC,25
2016-01-06-12:40 UTC,25
2016-01-06-12:41 UTC,25
2016-01-06-12:42 UTC,25
2016-01-06-12:43 UTC,25
2016-01-06-12:44 UTC,37
2016-01-06-12:45 UTC,49
2016-01-06-12:46 UTC,74
2016-01-06-12:47 UTC,25
2016-01-06-12:48 UTC,49
2016-01-06-12:49 UTC,49
2016-01-06-12:50 UTC,49
2016-01-06-12:51 UTC,25
2016-01-06-12:52 UTC,50
2016-01-06-12:53 UTC,25
2016-01-06-12:54 UTC,50
2016-01-06-12:55 UTC,25
2016-01-06-12:56 UTC,49
2016-01-06-12:57 UTC,74
2016-01-06-12:58 UTC,25
2016-01-06-12:59 UTC,41
2016-01-06-13:00 UTC,57
2016-01-06-13:01 UTC,73
2016-01-06-13:02 UTC,49
2016-01-06-13:03 UTC,49
2016-01-06-13:04 UTC,50
2016-01-06-13:05 UTC,25
2016-01-06-13:06 UTC,25
2016-01-06-13:07 UTC,24
2016-01-06-13:08 UTC,25
2016-01-06-13:09 UTC,73
2016-01-06-13:10 UTC,49
2016-01-06-13:11 UTC,74
2016-01-06-13:12 UTC,24
2016-01-06-13:13 UTC,48
2016-01-06-13:14 UTC,72
2016-01-06-13:15 UTC,49
2016-01-06-13:16 UTC,48
2016-01-06-13:17 UTC,48
2016-01-06-13:18 UTC,24
2016-01-06-13:19 UTC,24
2016-01-06-13:20 UTC,24
2016-01-06-13:21 UTC,24
2016-01-06-13:22 UTC,48
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for antidepressants
Sub-region,antidepressants
Northern Ireland,100
England,53
Wales,38
Scotland,29


Top cities for antidepressants
Town/City,antidepressants
London,100









