Web Search interest: bereavement
United Kingdom Past hour

Interest over time
Time,bereavement
2016-01-06-12:28 UTC,13
2016-01-06-12:29 UTC,13
2016-01-06-12:30 UTC,51
2016-01-06-12:31 UTC,25
2016-01-06-12:32 UTC,38
2016-01-06-12:33 UTC,63
2016-01-06-12:34 UTC,38
2016-01-06-12:35 UTC,13
2016-01-06-12:36 UTC,38
2016-01-06-12:37 UTC,25
2016-01-06-12:38 UTC,62
2016-01-06-12:39 UTC,50
2016-01-06-12:40 UTC,100
2016-01-06-12:41 UTC,50
2016-01-06-12:42 UTC,12
2016-01-06-12:43 UTC,12
2016-01-06-12:44 UTC,37
2016-01-06-12:45 UTC,12
2016-01-06-12:46 UTC,25
2016-01-06-12:47 UTC,12
2016-01-06-12:48 UTC,37
2016-01-06-12:49 UTC,75
2016-01-06-12:50 UTC,12
2016-01-06-12:51 UTC,13
2016-01-06-12:52 UTC,38
2016-01-06-12:53 UTC,38
2016-01-06-12:54 UTC,76
2016-01-06-12:55 UTC,38
2016-01-06-12:56 UTC,25
2016-01-06-12:57 UTC,75
2016-01-06-12:58 UTC,25
2016-01-06-12:59 UTC,75
2016-01-06-13:00 UTC,75
2016-01-06-13:01 UTC,25
2016-01-06-13:02 UTC,25
2016-01-06-13:03 UTC,50
2016-01-06-13:04 UTC,38
2016-01-06-13:05 UTC,38
2016-01-06-13:06 UTC,38
2016-01-06-13:07 UTC,49
2016-01-06-13:08 UTC,37
2016-01-06-13:09 UTC,49
2016-01-06-13:10 UTC,25
2016-01-06-13:11 UTC,37
2016-01-06-13:12 UTC,49
2016-01-06-13:13 UTC,37
2016-01-06-13:14 UTC,12
2016-01-06-13:15 UTC,62
2016-01-06-13:16 UTC,61
2016-01-06-13:17 UTC,37
2016-01-06-13:18 UTC,55
2016-01-06-13:19 UTC,74
2016-01-06-13:20 UTC,37
2016-01-06-13:21 UTC,43
2016-01-06-13:22 UTC,49
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for bereavement
Sub-region,bereavement
Wales,100
Northern Ireland,59
England,58
Scotland,39


Top cities for bereavement
Town/City,bereavement
London,100



Top searches for bereavement
cruse bereavement,100






