Web Search interest: carers friends and family - a guide to coping
United Kingdom Past hour

Interest over time
Time,carers,friends and family - a guide to coping
2016-01-06-12:28 UTC,100,0
2016-01-06-12:29 UTC,79,0
2016-01-06-12:30 UTC,80,0
2016-01-06-12:31 UTC,43,0
2016-01-06-12:32 UTC,36,0
2016-01-06-12:33 UTC,71,0
2016-01-06-12:34 UTC,28,0
2016-01-06-12:35 UTC,57,0
2016-01-06-12:36 UTC,64,0
2016-01-06-12:37 UTC,50,0
2016-01-06-12:38 UTC,78,0
2016-01-06-12:39 UTC,50,0
2016-01-06-12:40 UTC,71,0
2016-01-06-12:41 UTC,28,0
2016-01-06-12:42 UTC,14,0
2016-01-06-12:43 UTC,49,0
2016-01-06-12:44 UTC,63,0
2016-01-06-12:45 UTC,70,0
2016-01-06-12:46 UTC,35,0
2016-01-06-12:47 UTC,42,0
2016-01-06-12:48 UTC,63,0
2016-01-06-12:49 UTC,50,0
2016-01-06-12:50 UTC,78,0
2016-01-06-12:51 UTC,36,0
2016-01-06-12:52 UTC,64,0
2016-01-06-12:53 UTC,64,0
2016-01-06-12:54 UTC,57,0
2016-01-06-12:55 UTC,36,0
2016-01-06-12:56 UTC,99,0
2016-01-06-12:57 UTC,84,0
2016-01-06-12:58 UTC,35,0
2016-01-06-12:59 UTC,50,0
2016-01-06-13:00 UTC,49,0
2016-01-06-13:01 UTC,35,0
2016-01-06-13:02 UTC,70,0
2016-01-06-13:03 UTC,28,0
2016-01-06-13:04 UTC,64,0
2016-01-06-13:05 UTC,71,0
2016-01-06-13:06 UTC,28,0
2016-01-06-13:07 UTC,56,0
2016-01-06-13:08 UTC,28,0
2016-01-06-13:09 UTC,42,0
2016-01-06-13:10 UTC,91,0
2016-01-06-13:11 UTC,84,0
2016-01-06-13:12 UTC,69,0
2016-01-06-13:13 UTC,41,0
2016-01-06-13:14 UTC,34,0
2016-01-06-13:15 UTC,56,0
2016-01-06-13:16 UTC,21,0
2016-01-06-13:17 UTC,35,0
2016-01-06-13:18 UTC,63,0
2016-01-06-13:19 UTC,76,0
2016-01-06-13:20 UTC,41,0
2016-01-06-13:21 UTC,21,0
2016-01-06-13:22 UTC,55,0
2016-01-06-13:23 UTC, , 
2016-01-06-13:24 UTC, , 
2016-01-06-13:25 UTC, , 
2016-01-06-13:26 UTC, , 
2016-01-06-13:27 UTC, , 


Top sub-regions for carers
Sub-region,carers,friends and family - a guide to coping
Scotland,100,0
Northern Ireland,85,0
England,84,0
Wales,72,0

Top sub-regions for friends and family - a guide to coping
Sub-region,carers,friends and family - a guide to coping
England,84,0
Northern Ireland,85,0
Scotland,100,0
Wales,72,0


Top cities for carers
Town/City,carers
London,100




Top searches for carers
carers allowance,100
carers allowance number,35










