Web Search interest: depression
United Kingdom Past hour

Interest over time
Time,depression
2016-01-06-12:28 UTC,39
2016-01-06-12:29 UTC,57
2016-01-06-12:30 UTC,40
2016-01-06-12:31 UTC,53
2016-01-06-12:32 UTC,75
2016-01-06-12:33 UTC,30
2016-01-06-12:34 UTC,74
2016-01-06-12:35 UTC,65
2016-01-06-12:36 UTC,44
2016-01-06-12:37 UTC,69
2016-01-06-12:38 UTC,22
2016-01-06-12:39 UTC,39
2016-01-06-12:40 UTC,65
2016-01-06-12:41 UTC,60
2016-01-06-12:42 UTC,60
2016-01-06-12:43 UTC,81
2016-01-06-12:44 UTC,64
2016-01-06-12:45 UTC,73
2016-01-06-12:46 UTC,60
2016-01-06-12:47 UTC,34
2016-01-06-12:48 UTC,51
2016-01-06-12:49 UTC,39
2016-01-06-12:50 UTC,43
2016-01-06-12:51 UTC,66
2016-01-06-12:52 UTC,78
2016-01-06-12:53 UTC,100
2016-01-06-12:54 UTC,65
2016-01-06-12:55 UTC,65
2016-01-06-12:56 UTC,43
2016-01-06-12:57 UTC,39
2016-01-06-12:58 UTC,69
2016-01-06-12:59 UTC,61
2016-01-06-13:00 UTC,34
2016-01-06-13:01 UTC,51
2016-01-06-13:02 UTC,43
2016-01-06-13:03 UTC,47
2016-01-06-13:04 UTC,74
2016-01-06-13:05 UTC,65
2016-01-06-13:06 UTC,73
2016-01-06-13:07 UTC,64
2016-01-06-13:08 UTC,26
2016-01-06-13:09 UTC,64
2016-01-06-13:10 UTC,73
2016-01-06-13:11 UTC,47
2016-01-06-13:12 UTC,34
2016-01-06-13:13 UTC,59
2016-01-06-13:14 UTC,42
2016-01-06-13:15 UTC,34
2016-01-06-13:16 UTC,59
2016-01-06-13:17 UTC,34
2016-01-06-13:18 UTC,25
2016-01-06-13:19 UTC,63
2016-01-06-13:20 UTC,51
2016-01-06-13:21 UTC,42
2016-01-06-13:22 UTC,25
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for depression
Sub-region,depression
Northern Ireland,100
Wales,81
England,53
Scotland,47


Top cities for depression
Town/City,depression
Cardiff,100
Liverpool,49
Glasgow,42
London,29
Birmingham,27



Top searches for depression
depression test,100
signs of depression,80



Rising searches for depression
depression test,+40%



