Web Search interest: driving
United Kingdom Past hour

Interest over time
Time,driving
2016-01-06-12:28 UTC,86
2016-01-06-12:29 UTC,89
2016-01-06-12:30 UTC,78
2016-01-06-12:31 UTC,93
2016-01-06-12:32 UTC,82
2016-01-06-12:33 UTC,68
2016-01-06-12:34 UTC,74
2016-01-06-12:35 UTC,92
2016-01-06-12:36 UTC,100
2016-01-06-12:37 UTC,95
2016-01-06-12:38 UTC,86
2016-01-06-12:39 UTC,87
2016-01-06-12:40 UTC,73
2016-01-06-12:41 UTC,67
2016-01-06-12:42 UTC,89
2016-01-06-12:43 UTC,80
2016-01-06-12:44 UTC,81
2016-01-06-12:45 UTC,81
2016-01-06-12:46 UTC,73
2016-01-06-12:47 UTC,92
2016-01-06-12:48 UTC,70
2016-01-06-12:49 UTC,76
2016-01-06-12:50 UTC,94
2016-01-06-12:51 UTC,86
2016-01-06-12:52 UTC,79
2016-01-06-12:53 UTC,83
2016-01-06-12:54 UTC,67
2016-01-06-12:55 UTC,94
2016-01-06-12:56 UTC,77
2016-01-06-12:57 UTC,80
2016-01-06-12:58 UTC,91
2016-01-06-12:59 UTC,89
2016-01-06-13:00 UTC,88
2016-01-06-13:01 UTC,85
2016-01-06-13:02 UTC,76
2016-01-06-13:03 UTC,72
2016-01-06-13:04 UTC,86
2016-01-06-13:05 UTC,82
2016-01-06-13:06 UTC,81
2016-01-06-13:07 UTC,82
2016-01-06-13:08 UTC,79
2016-01-06-13:09 UTC,78
2016-01-06-13:10 UTC,79
2016-01-06-13:11 UTC,81
2016-01-06-13:12 UTC,89
2016-01-06-13:13 UTC,71
2016-01-06-13:14 UTC,80
2016-01-06-13:15 UTC,72
2016-01-06-13:16 UTC,76
2016-01-06-13:17 UTC,83
2016-01-06-13:18 UTC,82
2016-01-06-13:19 UTC,71
2016-01-06-13:20 UTC,63
2016-01-06-13:21 UTC,78
2016-01-06-13:22 UTC,53
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 


Top sub-regions for driving
Sub-region,driving
England,100
Scotland,98
Wales,88
Northern Ireland,86


Top cities for driving
Town/City,driving
Raunds,100
Dagenham,90
Shipston-on-Stour,84
Ilford,68
Huddersfield,66
Farnborough,60
Pudsey,60
Middlesbrough,57
Luton,56
Croydon,56
Guildford,51
Birmingham,51
Holt,50
Coningsby,49
Shifnal,49



Top searches for driving
provisional driving licence,100
driving test,95
driving licence,70
book driving test,70
dvla,65
driving theory test,55
driving lessons,50
change address on driving license,40
change driving test,40
practical driving test,30
red driving school,30
driving licence check,25
driving instructor,25
driving licence address change,25
driving jobs,20
dragon driving,20
renew driving licence,20
driving test booking,20
aa driving school,20
book practical driving test,20
driving licence change of address,20
dvla driving test,15
driving test cancellations,15
intensive driving course,15
book driving theory test,15
dvla driving licence,15
changing address on driving licence,15
change driving license address,15
driving theory practice,15
uk driving licence,10
renewing driving licence,10
lost driving licence,10
driving licence renewal,10



Rising searches for driving
renewing driving licence,+120%
book driving theory test,+100%
driving licence renewal,+80%
driving theory practice,+50%
change driving license address,+40%
uk driving licence,+40%



