Web Search interest: housing
United Kingdom Past hour

Interest over time
Time,housing
2016-01-06-12:29 UTC,73
2016-01-06-12:30 UTC,100
2016-01-06-12:31 UTC,88
2016-01-06-12:32 UTC,86
2016-01-06-12:33 UTC,76
2016-01-06-12:34 UTC,77
2016-01-06-12:35 UTC,80
2016-01-06-12:36 UTC,87
2016-01-06-12:37 UTC,88
2016-01-06-12:38 UTC,87
2016-01-06-12:39 UTC,60
2016-01-06-12:40 UTC,68
2016-01-06-12:41 UTC,67
2016-01-06-12:42 UTC,87
2016-01-06-12:43 UTC,82
2016-01-06-12:44 UTC,71
2016-01-06-12:45 UTC,79
2016-01-06-12:46 UTC,79
2016-01-06-12:47 UTC,79
2016-01-06-12:48 UTC,81
2016-01-06-12:49 UTC,94
2016-01-06-12:50 UTC,80
2016-01-06-12:51 UTC,75
2016-01-06-12:52 UTC,69
2016-01-06-12:53 UTC,61
2016-01-06-12:54 UTC,68
2016-01-06-12:55 UTC,78
2016-01-06-12:56 UTC,66
2016-01-06-12:57 UTC,83
2016-01-06-12:58 UTC,94
2016-01-06-12:59 UTC,84
2016-01-06-13:00 UTC,82
2016-01-06-13:01 UTC,99
2016-01-06-13:02 UTC,58
2016-01-06-13:03 UTC,63
2016-01-06-13:04 UTC,82
2016-01-06-13:05 UTC,75
2016-01-06-13:06 UTC,91
2016-01-06-13:07 UTC,66
2016-01-06-13:08 UTC,64
2016-01-06-13:09 UTC,82
2016-01-06-13:10 UTC,68
2016-01-06-13:11 UTC,65
2016-01-06-13:12 UTC,72
2016-01-06-13:13 UTC,67
2016-01-06-13:14 UTC,89
2016-01-06-13:15 UTC,71
2016-01-06-13:16 UTC,71
2016-01-06-13:17 UTC,61
2016-01-06-13:18 UTC,54
2016-01-06-13:19 UTC,61
2016-01-06-13:20 UTC,72
2016-01-06-13:21 UTC,53
2016-01-06-13:22 UTC,63
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for housing
Sub-region,housing
Scotland,100
Northern Ireland,92
Wales,87
England,79


Top cities for housing
Town/City,housing
Wick,100
Bradford,89
Walsall,88
South Cave,87
Glasgow,79
Bolton,76
Manchester,75
Huddersfield,74
Stoke-on-Trent,73
Portsmouth,67
Sunderland,65
Luton,65
Newcastle upon Tyne,63
Birkenhead,62
Northampton,61



Top searches for housing
housing benefit,100
housing association,25
housing benefit calculator,25
council housing,15
housing units,15
sanctuary housing,15
housing bill,10
housing benefit form,10
housing executive,10
housing and planning bill,10
waterloo housing,10
inside housing,10
sovereign housing association,10



Rising searches for housing
housing association,+100%
waterloo housing,+100%
housing benefit form,+50%
council housing,+40%
housing units,+40%



