Web Search interest: loneliness
United Kingdom Past hour

Interest over time
Time,loneliness
2016-01-06-12:29 UTC,0
2016-01-06-12:30 UTC,0
2016-01-06-12:31 UTC,0
2016-01-06-12:32 UTC,34
2016-01-06-12:33 UTC,34
2016-01-06-12:34 UTC,34
2016-01-06-12:35 UTC,34
2016-01-06-12:36 UTC,34
2016-01-06-12:37 UTC,100
2016-01-06-12:38 UTC,33
2016-01-06-12:39 UTC,33
2016-01-06-12:40 UTC,33
2016-01-06-12:41 UTC,33
2016-01-06-12:42 UTC,33
2016-01-06-12:43 UTC,33
2016-01-06-12:44 UTC,33
2016-01-06-12:45 UTC,33
2016-01-06-12:46 UTC,33
2016-01-06-12:47 UTC,33
2016-01-06-12:48 UTC,33
2016-01-06-12:49 UTC,33
2016-01-06-12:50 UTC,33
2016-01-06-12:51 UTC,33
2016-01-06-12:52 UTC,34
2016-01-06-12:53 UTC,50
2016-01-06-12:54 UTC,67
2016-01-06-12:55 UTC,33
2016-01-06-12:56 UTC,33
2016-01-06-12:57 UTC,33
2016-01-06-12:58 UTC,33
2016-01-06-12:59 UTC,33
2016-01-06-13:00 UTC,50
2016-01-06-13:01 UTC,66
2016-01-06-13:02 UTC,34
2016-01-06-13:03 UTC,34
2016-01-06-13:04 UTC,34
2016-01-06-13:05 UTC,33
2016-01-06-13:06 UTC,33
2016-01-06-13:07 UTC,33
2016-01-06-13:08 UTC,33
2016-01-06-13:09 UTC,33
2016-01-06-13:10 UTC,33
2016-01-06-13:11 UTC,33
2016-01-06-13:12 UTC,33
2016-01-06-13:13 UTC,32
2016-01-06-13:14 UTC,33
2016-01-06-13:15 UTC,33
2016-01-06-13:16 UTC,33
2016-01-06-13:17 UTC,44
2016-01-06-13:18 UTC,54
2016-01-06-13:19 UTC,65
2016-01-06-13:20 UTC,0
2016-01-06-13:21 UTC,0
2016-01-06-13:22 UTC,0
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for loneliness
Sub-region,loneliness
Northern Ireland,100
England,48
Scotland,29
Wales,0


Top cities for loneliness
Town/City,loneliness
London,100









