Web Search interest: medication
United Kingdom Past hour

Interest over time
Time,medication
2016-01-06-12:29 UTC,37
2016-01-06-12:30 UTC,43
2016-01-06-12:31 UTC,42
2016-01-06-12:32 UTC,48
2016-01-06-12:33 UTC,74
2016-01-06-12:34 UTC,52
2016-01-06-12:35 UTC,47
2016-01-06-12:36 UTC,21
2016-01-06-12:37 UTC,47
2016-01-06-12:38 UTC,31
2016-01-06-12:39 UTC,21
2016-01-06-12:40 UTC,42
2016-01-06-12:41 UTC,37
2016-01-06-12:42 UTC,21
2016-01-06-12:43 UTC,41
2016-01-06-12:44 UTC,62
2016-01-06-12:45 UTC,52
2016-01-06-12:46 UTC,41
2016-01-06-12:47 UTC,36
2016-01-06-12:48 UTC,21
2016-01-06-12:49 UTC,57
2016-01-06-12:50 UTC,52
2016-01-06-12:51 UTC,27
2016-01-06-12:52 UTC,21
2016-01-06-12:53 UTC,100
2016-01-06-12:54 UTC,47
2016-01-06-12:55 UTC,47
2016-01-06-12:56 UTC,52
2016-01-06-12:57 UTC,31
2016-01-06-12:58 UTC,57
2016-01-06-12:59 UTC,5
2016-01-06-13:00 UTC,21
2016-01-06-13:01 UTC,41
2016-01-06-13:02 UTC,31
2016-01-06-13:03 UTC,31
2016-01-06-13:04 UTC,37
2016-01-06-13:05 UTC,31
2016-01-06-13:06 UTC,63
2016-01-06-13:07 UTC,31
2016-01-06-13:08 UTC,26
2016-01-06-13:09 UTC,52
2016-01-06-13:10 UTC,26
2016-01-06-13:11 UTC,52
2016-01-06-13:12 UTC,46
2016-01-06-13:13 UTC,31
2016-01-06-13:14 UTC,35
2016-01-06-13:15 UTC,10
2016-01-06-13:16 UTC,46
2016-01-06-13:17 UTC,36
2016-01-06-13:18 UTC,26
2016-01-06-13:19 UTC,31
2016-01-06-13:20 UTC,31
2016-01-06-13:21 UTC,10
2016-01-06-13:22 UTC,10
2016-01-06-13:23 UTC, 
2016-01-06-13:24 UTC, 
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for medication
Sub-region,medication
Wales,100
Northern Ireland,99
Scotland,88
England,81


Top cities for medication
Town/City,medication
Birmingham,100
London,45









