Web Search interest: mindfulness
United Kingdom Past hour

Interest over time
Time,mindfulness
2016-01-06-12:29 UTC,58
2016-01-06-12:30 UTC,23
2016-01-06-12:31 UTC,93
2016-01-06-12:32 UTC,46
2016-01-06-12:33 UTC,11
2016-01-06-12:34 UTC,11
2016-01-06-12:35 UTC,23
2016-01-06-12:36 UTC,12
2016-01-06-12:37 UTC,34
2016-01-06-12:38 UTC,79
2016-01-06-12:39 UTC,23
2016-01-06-12:40 UTC,80
2016-01-06-12:41 UTC,46
2016-01-06-12:42 UTC,57
2016-01-06-12:43 UTC,57
2016-01-06-12:44 UTC,23
2016-01-06-12:45 UTC,23
2016-01-06-12:46 UTC,34
2016-01-06-12:47 UTC,45
2016-01-06-12:48 UTC,23
2016-01-06-12:49 UTC,46
2016-01-06-12:50 UTC,57
2016-01-06-12:51 UTC,23
2016-01-06-12:52 UTC,23
2016-01-06-12:53 UTC,46
2016-01-06-12:54 UTC,57
2016-01-06-12:55 UTC,46
2016-01-06-12:56 UTC,23
2016-01-06-12:57 UTC,34
2016-01-06-12:58 UTC,57
2016-01-06-12:59 UTC,23
2016-01-06-13:00 UTC,34
2016-01-06-13:01 UTC,56
2016-01-06-13:02 UTC,11
2016-01-06-13:03 UTC,23
2016-01-06-13:04 UTC,11
2016-01-06-13:05 UTC,57
2016-01-06-13:06 UTC,68
2016-01-06-13:07 UTC,78
2016-01-06-13:08 UTC,34
2016-01-06-13:09 UTC,34
2016-01-06-13:10 UTC,34
2016-01-06-13:11 UTC,56
2016-01-06-13:12 UTC,56
2016-01-06-13:13 UTC,22
2016-01-06-13:14 UTC,33
2016-01-06-13:15 UTC,34
2016-01-06-13:16 UTC,45
2016-01-06-13:17 UTC,22
2016-01-06-13:18 UTC,34
2016-01-06-13:19 UTC,22
2016-01-06-13:20 UTC,22
2016-01-06-13:21 UTC,11
2016-01-06-13:22 UTC,44
2016-01-06-13:23 UTC,100
2016-01-06-13:24 UTC,12
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for mindfulness
Sub-region,mindfulness
Wales,100
Scotland,58
England,42
Northern Ireland,13


Top cities for mindfulness
Town/City,mindfulness
London,100









