Web Search interest: physical activity sport and exercise
United Kingdom Past hour

Interest over time
Time,physical activity,sport and exercise
2016-01-06-12:29 UTC,51,0
2016-01-06-12:30 UTC,26,0
2016-01-06-12:31 UTC,25,0
2016-01-06-12:32 UTC,25,0
2016-01-06-12:33 UTC,50,0
2016-01-06-12:34 UTC,25,0
2016-01-06-12:35 UTC,25,0
2016-01-06-12:36 UTC,51,0
2016-01-06-12:37 UTC,50,0
2016-01-06-12:38 UTC,25,0
2016-01-06-12:39 UTC,25,0
2016-01-06-12:40 UTC,25,0
2016-01-06-12:41 UTC,25,0
2016-01-06-12:42 UTC,25,0
2016-01-06-12:43 UTC,25,0
2016-01-06-12:44 UTC,74,0
2016-01-06-12:45 UTC,50,0
2016-01-06-12:46 UTC,50,0
2016-01-06-12:47 UTC,0,0
2016-01-06-12:48 UTC,0,0
2016-01-06-12:49 UTC,0,0
2016-01-06-12:50 UTC,0,0
2016-01-06-12:51 UTC,0,0
2016-01-06-12:52 UTC,50,0
2016-01-06-12:53 UTC,50,0
2016-01-06-12:54 UTC,25,0
2016-01-06-12:55 UTC,25,0
2016-01-06-12:56 UTC,25,0
2016-01-06-12:57 UTC,25,0
2016-01-06-12:58 UTC,50,0
2016-01-06-12:59 UTC,25,0
2016-01-06-13:00 UTC,25,0
2016-01-06-13:01 UTC,25,0
2016-01-06-13:02 UTC,25,0
2016-01-06-13:03 UTC,100,0
2016-01-06-13:04 UTC,25,0
2016-01-06-13:05 UTC,25,0
2016-01-06-13:06 UTC,25,0
2016-01-06-13:07 UTC,25,0
2016-01-06-13:08 UTC,25,0
2016-01-06-13:09 UTC,50,0
2016-01-06-13:10 UTC,74,0
2016-01-06-13:11 UTC,79,0
2016-01-06-13:12 UTC,84,0
2016-01-06-13:13 UTC,89,0
2016-01-06-13:14 UTC,94,0
2016-01-06-13:15 UTC,98,0
2016-01-06-13:16 UTC,25,0
2016-01-06-13:17 UTC,25,0
2016-01-06-13:18 UTC,25,0
2016-01-06-13:19 UTC,24,0
2016-01-06-13:20 UTC,24,0
2016-01-06-13:21 UTC,49,0
2016-01-06-13:22 UTC,24,0
2016-01-06-13:23 UTC,24,0
2016-01-06-13:24 UTC, , 
2016-01-06-13:25 UTC, , 
2016-01-06-13:26 UTC, , 
2016-01-06-13:27 UTC, , 
2016-01-06-13:28 UTC, , 


Top sub-regions for physical activity
Sub-region,physical activity,sport and exercise
Northern Ireland,100,0
England,100,0
Scotland,0,0
Wales,0,0

Top sub-regions for sport and exercise
Sub-region,physical activity,sport and exercise
England,100,0
Northern Ireland,100,0
Scotland,0,0
Wales,0,0


Top cities for physical activity
Town/City,physical activity
London,100














