Web Search interest: relaxation
United Kingdom Past hour

Interest over time
Time,relaxation
2016-01-06-12:29 UTC,40
2016-01-06-12:30 UTC,61
2016-01-06-12:31 UTC,41
2016-01-06-12:32 UTC,20
2016-01-06-12:33 UTC,40
2016-01-06-12:34 UTC,40
2016-01-06-12:35 UTC,20
2016-01-06-12:36 UTC,61
2016-01-06-12:37 UTC,20
2016-01-06-12:38 UTC,20
2016-01-06-12:39 UTC,20
2016-01-06-12:40 UTC,20
2016-01-06-12:41 UTC,20
2016-01-06-12:42 UTC,20
2016-01-06-12:43 UTC,40
2016-01-06-12:44 UTC,20
2016-01-06-12:45 UTC,40
2016-01-06-12:46 UTC,20
2016-01-06-12:47 UTC,20
2016-01-06-12:48 UTC,40
2016-01-06-12:49 UTC,20
2016-01-06-12:50 UTC,20
2016-01-06-12:51 UTC,61
2016-01-06-12:52 UTC,40
2016-01-06-12:53 UTC,20
2016-01-06-12:54 UTC,60
2016-01-06-12:55 UTC,20
2016-01-06-12:56 UTC,20
2016-01-06-12:57 UTC,40
2016-01-06-12:58 UTC,40
2016-01-06-12:59 UTC,60
2016-01-06-13:00 UTC,40
2016-01-06-13:01 UTC,50
2016-01-06-13:02 UTC,59
2016-01-06-13:03 UTC,40
2016-01-06-13:04 UTC,40
2016-01-06-13:05 UTC,70
2016-01-06-13:06 UTC,100
2016-01-06-13:07 UTC,40
2016-01-06-13:08 UTC,40
2016-01-06-13:09 UTC,20
2016-01-06-13:10 UTC,20
2016-01-06-13:11 UTC,20
2016-01-06-13:12 UTC,20
2016-01-06-13:13 UTC,39
2016-01-06-13:14 UTC,19
2016-01-06-13:15 UTC,20
2016-01-06-13:16 UTC,78
2016-01-06-13:17 UTC,20
2016-01-06-13:18 UTC,39
2016-01-06-13:19 UTC,20
2016-01-06-13:20 UTC,39
2016-01-06-13:21 UTC,39
2016-01-06-13:22 UTC,40
2016-01-06-13:23 UTC,41
2016-01-06-13:24 UTC,42
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for relaxation
Sub-region,relaxation
Northern Ireland,100
Scotland,57
England,50
Wales,38


Top cities for relaxation
Town/City,relaxation
London,100









