Web Search interest: stress
United Kingdom Past hour

Interest over time
Time,stress
2016-01-06-12:29 UTC,28
2016-01-06-12:30 UTC,85
2016-01-06-12:31 UTC,78
2016-01-06-12:32 UTC,34
2016-01-06-12:33 UTC,78
2016-01-06-12:34 UTC,44
2016-01-06-12:35 UTC,50
2016-01-06-12:36 UTC,67
2016-01-06-12:37 UTC,94
2016-01-06-12:38 UTC,44
2016-01-06-12:39 UTC,55
2016-01-06-12:40 UTC,33
2016-01-06-12:41 UTC,72
2016-01-06-12:42 UTC,33
2016-01-06-12:43 UTC,60
2016-01-06-12:44 UTC,82
2016-01-06-12:45 UTC,66
2016-01-06-12:46 UTC,82
2016-01-06-12:47 UTC,49
2016-01-06-12:48 UTC,55
2016-01-06-12:49 UTC,61
2016-01-06-12:50 UTC,60
2016-01-06-12:51 UTC,84
2016-01-06-12:52 UTC,39
2016-01-06-12:53 UTC,100
2016-01-06-12:54 UTC,67
2016-01-06-12:55 UTC,33
2016-01-06-12:56 UTC,44
2016-01-06-12:57 UTC,71
2016-01-06-12:58 UTC,71
2016-01-06-12:59 UTC,72
2016-01-06-13:00 UTC,66
2016-01-06-13:01 UTC,92
2016-01-06-13:02 UTC,55
2016-01-06-13:03 UTC,50
2016-01-06-13:04 UTC,50
2016-01-06-13:05 UTC,61
2016-01-06-13:06 UTC,77
2016-01-06-13:07 UTC,60
2016-01-06-13:08 UTC,66
2016-01-06-13:09 UTC,44
2016-01-06-13:10 UTC,71
2016-01-06-13:11 UTC,71
2016-01-06-13:12 UTC,32
2016-01-06-13:13 UTC,43
2016-01-06-13:14 UTC,43
2016-01-06-13:15 UTC,65
2016-01-06-13:16 UTC,22
2016-01-06-13:17 UTC,49
2016-01-06-13:18 UTC,65
2016-01-06-13:19 UTC,70
2016-01-06-13:20 UTC,43
2016-01-06-13:21 UTC,21
2016-01-06-13:22 UTC,70
2016-01-06-13:23 UTC,32
2016-01-06-13:24 UTC,47
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for stress
Sub-region,stress
Scotland,100
Wales,93
Northern Ireland,85
England,85


Top cities for stress
Town/City,stress
Cardiff,100
Birmingham,34
London,34









