Web Search interest: suicide
United Kingdom Past hour

Interest over time
Time,suicide
2016-01-06-12:29 UTC,57
2016-01-06-12:30 UTC,26
2016-01-06-12:31 UTC,38
2016-01-06-12:32 UTC,51
2016-01-06-12:33 UTC,51
2016-01-06-12:34 UTC,50
2016-01-06-12:35 UTC,57
2016-01-06-12:36 UTC,44
2016-01-06-12:37 UTC,50
2016-01-06-12:38 UTC,25
2016-01-06-12:39 UTC,57
2016-01-06-12:40 UTC,25
2016-01-06-12:41 UTC,44
2016-01-06-12:42 UTC,50
2016-01-06-12:43 UTC,56
2016-01-06-12:44 UTC,25
2016-01-06-12:45 UTC,93
2016-01-06-12:46 UTC,68
2016-01-06-12:47 UTC,31
2016-01-06-12:48 UTC,56
2016-01-06-12:49 UTC,31
2016-01-06-12:50 UTC,100
2016-01-06-12:51 UTC,70
2016-01-06-12:52 UTC,38
2016-01-06-12:53 UTC,38
2016-01-06-12:54 UTC,44
2016-01-06-12:55 UTC,44
2016-01-06-12:56 UTC,19
2016-01-06-12:57 UTC,25
2016-01-06-12:58 UTC,62
2016-01-06-12:59 UTC,50
2016-01-06-13:00 UTC,75
2016-01-06-13:01 UTC,43
2016-01-06-13:02 UTC,44
2016-01-06-13:03 UTC,38
2016-01-06-13:04 UTC,44
2016-01-06-13:05 UTC,31
2016-01-06-13:06 UTC,31
2016-01-06-13:07 UTC,56
2016-01-06-13:08 UTC,44
2016-01-06-13:09 UTC,50
2016-01-06-13:10 UTC,37
2016-01-06-13:11 UTC,43
2016-01-06-13:12 UTC,31
2016-01-06-13:13 UTC,24
2016-01-06-13:14 UTC,61
2016-01-06-13:15 UTC,49
2016-01-06-13:16 UTC,18
2016-01-06-13:17 UTC,43
2016-01-06-13:18 UTC,31
2016-01-06-13:19 UTC,43
2016-01-06-13:20 UTC,43
2016-01-06-13:21 UTC,55
2016-01-06-13:22 UTC,24
2016-01-06-13:23 UTC,37
2016-01-06-13:24 UTC,7
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for suicide
Sub-region,suicide
Northern Ireland,100
Wales,83
England,68
Scotland,39


Top cities for suicide
Town/City,suicide
London,100



Top searches for suicide
suicide squad,100






