Web Search interest: mental health
United Kingdom Past hour

Interest over time
Time,mental health
2016-01-06-12:29 UTC,71
2016-01-06-12:30 UTC,59
2016-01-06-12:31 UTC,80
2016-01-06-12:32 UTC,71
2016-01-06-12:33 UTC,92
2016-01-06-12:34 UTC,62
2016-01-06-12:35 UTC,71
2016-01-06-12:36 UTC,21
2016-01-06-12:37 UTC,66
2016-01-06-12:38 UTC,58
2016-01-06-12:39 UTC,87
2016-01-06-12:40 UTC,45
2016-01-06-12:41 UTC,33
2016-01-06-12:42 UTC,95
2016-01-06-12:43 UTC,61
2016-01-06-12:44 UTC,65
2016-01-06-12:45 UTC,57
2016-01-06-12:46 UTC,65
2016-01-06-12:47 UTC,90
2016-01-06-12:48 UTC,70
2016-01-06-12:49 UTC,54
2016-01-06-12:50 UTC,70
2016-01-06-12:51 UTC,63
2016-01-06-12:52 UTC,50
2016-01-06-12:53 UTC,42
2016-01-06-12:54 UTC,67
2016-01-06-12:55 UTC,62
2016-01-06-12:56 UTC,41
2016-01-06-12:57 UTC,61
2016-01-06-12:58 UTC,74
2016-01-06-12:59 UTC,54
2016-01-06-13:00 UTC,62
2016-01-06-13:01 UTC,61
2016-01-06-13:02 UTC,66
2016-01-06-13:03 UTC,74
2016-01-06-13:04 UTC,100
2016-01-06-13:05 UTC,54
2016-01-06-13:06 UTC,79
2016-01-06-13:07 UTC,73
2016-01-06-13:08 UTC,45
2016-01-06-13:09 UTC,94
2016-01-06-13:10 UTC,61
2016-01-06-13:11 UTC,94
2016-01-06-13:12 UTC,48
2016-01-06-13:13 UTC,52
2016-01-06-13:14 UTC,76
2016-01-06-13:15 UTC,49
2016-01-06-13:16 UTC,45
2016-01-06-13:17 UTC,40
2016-01-06-13:18 UTC,28
2016-01-06-13:19 UTC,65
2016-01-06-13:20 UTC,40
2016-01-06-13:21 UTC,52
2016-01-06-13:22 UTC,40
2016-01-06-13:23 UTC,32
2016-01-06-13:24 UTC,52
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for mental health
Sub-region,mental health
Wales,100
England,73
Northern Ireland,65
Scotland,53


Top cities for mental health
Town/City,mental health
Newcastle upon Tyne,100
Leeds,96
Manchester,50
Birmingham,47
London,29
Glasgow,28
Tibshelf,0



Top searches for mental health
mental health act,100






