Web Search interest: work
United Kingdom Past hour

Interest over time
Time,work
2016-01-06-12:29 UTC,92
2016-01-06-12:30 UTC,84
2016-01-06-12:31 UTC,86
2016-01-06-12:32 UTC,93
2016-01-06-12:33 UTC,85
2016-01-06-12:34 UTC,77
2016-01-06-12:35 UTC,75
2016-01-06-12:36 UTC,89
2016-01-06-12:37 UTC,85
2016-01-06-12:38 UTC,85
2016-01-06-12:39 UTC,83
2016-01-06-12:40 UTC,85
2016-01-06-12:41 UTC,88
2016-01-06-12:42 UTC,81
2016-01-06-12:43 UTC,81
2016-01-06-12:44 UTC,87
2016-01-06-12:45 UTC,90
2016-01-06-12:46 UTC,83
2016-01-06-12:47 UTC,84
2016-01-06-12:48 UTC,92
2016-01-06-12:49 UTC,91
2016-01-06-12:50 UTC,81
2016-01-06-12:51 UTC,100
2016-01-06-12:52 UTC,85
2016-01-06-12:53 UTC,84
2016-01-06-12:54 UTC,88
2016-01-06-12:55 UTC,77
2016-01-06-12:56 UTC,80
2016-01-06-12:57 UTC,77
2016-01-06-12:58 UTC,78
2016-01-06-12:59 UTC,89
2016-01-06-13:00 UTC,87
2016-01-06-13:01 UTC,74
2016-01-06-13:02 UTC,84
2016-01-06-13:03 UTC,81
2016-01-06-13:04 UTC,76
2016-01-06-13:05 UTC,84
2016-01-06-13:06 UTC,78
2016-01-06-13:07 UTC,83
2016-01-06-13:08 UTC,74
2016-01-06-13:09 UTC,80
2016-01-06-13:10 UTC,67
2016-01-06-13:11 UTC,92
2016-01-06-13:12 UTC,78
2016-01-06-13:13 UTC,75
2016-01-06-13:14 UTC,77
2016-01-06-13:15 UTC,55
2016-01-06-13:16 UTC,75
2016-01-06-13:17 UTC,71
2016-01-06-13:18 UTC,76
2016-01-06-13:19 UTC,67
2016-01-06-13:20 UTC,68
2016-01-06-13:21 UTC,56
2016-01-06-13:22 UTC,55
2016-01-06-13:23 UTC,57
2016-01-06-13:24 UTC,55
2016-01-06-13:25 UTC, 
2016-01-06-13:26 UTC, 
2016-01-06-13:27 UTC, 
2016-01-06-13:28 UTC, 


Top sub-regions for work
Sub-region,work
Wales,100
Scotland,99
England,92
Northern Ireland,82


Top cities for work
Town/City,work
Eastleigh,100
Portlethen,77
Lurgan,72
Standlake,69
Shirley,67
Southend-on-Sea,65
Margate,63
Long Bennington,63
Watford,62
Kinglassie,60
Burton upon Trent,60
Tiptree,56
Welwyn Garden City,51
Sileby,51
Raunds,50



Top searches for work
health and safety at work act,100
my world of work,85
department of work and pensions,70
work from home,60
work from home jobs,50
work from home jobs uk,50
cycle to work scheme,45
how does a hydrogen bomb work,40
how to work out percentages,40
how to work out percentage,40
navigate to work,35
work experience,30



Rising searches for work
how does a hydrogen bomb work,+300%
my world of work,+200%
work from home jobs uk,+200%
cycle to work scheme,+140%
navigate to work,+60%



