Web Search interest: mind
United Kingdom Past 12 months

Interest over time
Week,mind
2015-01-11 - 2015-01-17,86
2015-01-18 - 2015-01-24,85
2015-01-25 - 2015-01-31,84
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,89
2015-02-15 - 2015-02-21,86
2015-02-22 - 2015-02-28,87
2015-03-01 - 2015-03-07,87
2015-03-08 - 2015-03-14,89
2015-03-15 - 2015-03-21,92
2015-03-22 - 2015-03-28,87
2015-03-29 - 2015-04-04,89
2015-04-05 - 2015-04-11,83
2015-04-12 - 2015-04-18,85
2015-04-19 - 2015-04-25,88
2015-04-26 - 2015-05-02,90
2015-05-03 - 2015-05-09,87
2015-05-10 - 2015-05-16,90
2015-05-17 - 2015-05-23,87
2015-05-24 - 2015-05-30,100
2015-05-31 - 2015-06-06,84
2015-06-07 - 2015-06-13,85
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,79
2015-06-28 - 2015-07-04,76
2015-07-05 - 2015-07-11,77
2015-07-12 - 2015-07-18,78
2015-07-19 - 2015-07-25,81
2015-07-26 - 2015-08-01,78
2015-08-02 - 2015-08-08,73
2015-08-09 - 2015-08-15,77
2015-08-16 - 2015-08-22,80
2015-08-23 - 2015-08-29,81
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,84
2015-09-13 - 2015-09-19,88
2015-09-20 - 2015-09-26,89
2015-09-27 - 2015-10-03,91
2015-10-04 - 2015-10-10,97
2015-10-11 - 2015-10-17,97
2015-10-18 - 2015-10-24,91
2015-10-25 - 2015-10-31,86
2015-11-01 - 2015-11-07,99
2015-11-08 - 2015-11-14,93
2015-11-15 - 2015-11-21,89
2015-11-22 - 2015-11-28,86
2015-11-29 - 2015-12-05,86
2015-12-06 - 2015-12-12,83
2015-12-13 - 2015-12-19,83
2015-12-20 - 2015-12-26,75
2015-12-27 - 2016-01-02,80
2016-01-03 - 2016-01-09,92


Top sub-regions for mind
Sub-region,mind
England,100
Wales,96
Northern Ireland,87
Scotland,87


Top cities for mind
Town/City,mind
Oxford,100
Coventry,92
Brighton,91
Bathford,88
Portsmouth,87
Cambridge,85
Plymouth,85
Hull,84
Bournemouth,84
Croydon,84
Ipswich,83
Leicester,82
Reading,81
Derby,81
Bristol,78



Top searches for mind
the mind,100
on my mind,30
mind map,20
mind body,20
mind uk,10
never mind,10
mind control,10
beautiful mind,10
mind games,10
bear in mind,10
state of mind,10
mind and body,5
spotless mind,5
bare,5
a beautiful mind,5
bare in mind,5
mind charity,5
mind mental health,5
mind jobs,5
i dont mind,5
ellie goulding,5
mind maps,5
mind tricks,5
mind game,5
open mind,5
mind blowing,5
peace of mind,5
mind the gap,5
mind body spirit,5
wilder mind,5
mind mapping,5
read my mind,5
mind your language,5
theory of mind,5
mind tools,5
into mind,5
health in mind,5
york mind,0
mind and soul,0
mumford and sons,0
mind blown,0
mind over matter,0
mind gym,0
mind map maker,0
mind craft,0
subconscious mind,0
mind map free,0
mind reader,0
mind body green,0
mind your head,0



Rising searches for mind
mumford and sons,Breakout
wilder mind,Breakout
ellie goulding,+2,850%
obsidian mind,+500%
break my mind,+250%
future in mind,+120%
i dont mind,+100%
mind ed,+80%
john nash,+70%
solent mind,+60%



