Web Search interest: mind
United Kingdom Past 90 days

Interest over time
Day,mind
2015-10-07,79
2015-10-08,78
2015-10-09,79
2015-10-10,74
2015-10-11,75
2015-10-12,81
2015-10-13,82
2015-10-14,77
2015-10-15,76
2015-10-16,83
2015-10-17,70
2015-10-18,73
2015-10-19,73
2015-10-20,80
2015-10-21,71
2015-10-22,73
2015-10-23,72
2015-10-24,73
2015-10-25,67
2015-10-26,69
2015-10-27,69
2015-10-28,81
2015-10-29,73
2015-10-30,69
2015-10-31,59
2015-11-01,82
2015-11-02,74
2015-11-03,81
2015-11-04,80
2015-11-05,75
2015-11-06,81
2015-11-07,77
2015-11-08,79
2015-11-09,82
2015-11-10,79
2015-11-11,81
2015-11-12,81
2015-11-13,72
2015-11-14,60
2015-11-15,68
2015-11-16,70
2015-11-17,75
2015-11-18,72
2015-11-19,77
2015-11-20,70
2015-11-21,61
2015-11-22,68
2015-11-23,71
2015-11-24,72
2015-11-25,72
2015-11-26,72
2015-11-27,60
2015-11-28,62
2015-11-29,65
2015-11-30,68
2015-12-01,70
2015-12-02,70
2015-12-03,70
2015-12-04,74
2015-12-05,61
2015-12-06,62
2015-12-07,76
2015-12-08,72
2015-12-09,67
2015-12-10,67
2015-12-11,67
2015-12-12,61
2015-12-13,62
2015-12-14,65
2015-12-15,65
2015-12-16,72
2015-12-17,67
2015-12-18,68
2015-12-19,62
2015-12-20,61
2015-12-21,62
2015-12-22,65
2015-12-23,60
2015-12-24,52
2015-12-25,59
2015-12-26,51
2015-12-27,61
2015-12-28,58
2015-12-29,62
2015-12-30,59
2015-12-31,68
2016-01-01,66
2016-01-02,68
2016-01-03,69
2016-01-04,100
2016-01-05, 
2016-01-06, 


Top sub-regions for mind
Sub-region,mind
Wales,100
England,98
Northern Ireland,90
Scotland,88


Top cities for mind
Town/City,mind
Brighton,100
Oxford,99
Bolton,93
Plymouth,91
Cambridge,88
Portsmouth,88
Coventry,87
Norwich,80
Croydon,80
Reading,80
Derby,79
Cardiff,78
Southampton,77
Nottingham,73
Bradford,73



Top searches for mind
the mind,100
my mind,85
on my mind,45
mind map,20
mind body,15
ellie goulding,15
mind uk,15
never mind,10
mind control,10
beautiful mind,10
state of mind,10
bear in mind,10
mind games,10
mind quotes,10
spotless mind,10
mind and body,10
a beautiful mind,5
bare in mind,5
mind charity,5
mind mental health,5
mind jobs,5
mind maps,5
mind game,5
mind tricks,5
open mind,5
mind your language,5
mind set,5
theory of mind,5
mind the gap,5
mind blowing,5
peace of mind,5
mind reading,5
mind mapping,5
mind movies,5
change your mind,5
mind tools,5
into mind,5
mind body spirit,5
i dont mind,5
mind body soul,0
health in mind,0
mind depression,0
wilder mind,0
mind and soul,0
read my mind,0
change my mind,0
mind craft,0
mind blown,0
mind over matter,0
mind counselling,0



Rising searches for mind
theory of mind,+140%
ellie goulding,+80%
frame of mind,+60%
a beautiful mind,+50%
beautiful mind,+40%
mind map,+40%
x mind,+40%



