Web Search interest: mind
United Kingdom Past hour

Interest over time
Time,mind
2016-01-06-12:39 UTC,47
2016-01-06-12:40 UTC,87
2016-01-06-12:41 UTC,69
2016-01-06-12:42 UTC,80
2016-01-06-12:43 UTC,65
2016-01-06-12:44 UTC,61
2016-01-06-12:45 UTC,65
2016-01-06-12:46 UTC,47
2016-01-06-12:47 UTC,50
2016-01-06-12:48 UTC,61
2016-01-06-12:49 UTC,54
2016-01-06-12:50 UTC,51
2016-01-06-12:51 UTC,88
2016-01-06-12:52 UTC,84
2016-01-06-12:53 UTC,77
2016-01-06-12:54 UTC,37
2016-01-06-12:55 UTC,77
2016-01-06-12:56 UTC,80
2016-01-06-12:57 UTC,79
2016-01-06-12:58 UTC,79
2016-01-06-12:59 UTC,44
2016-01-06-13:00 UTC,62
2016-01-06-13:01 UTC,68
2016-01-06-13:02 UTC,61
2016-01-06-13:03 UTC,51
2016-01-06-13:04 UTC,62
2016-01-06-13:05 UTC,80
2016-01-06-13:06 UTC,44
2016-01-06-13:07 UTC,100
2016-01-06-13:08 UTC,65
2016-01-06-13:09 UTC,86
2016-01-06-13:10 UTC,54
2016-01-06-13:11 UTC,86
2016-01-06-13:12 UTC,57
2016-01-06-13:13 UTC,35
2016-01-06-13:14 UTC,67
2016-01-06-13:15 UTC,64
2016-01-06-13:16 UTC,64
2016-01-06-13:17 UTC,43
2016-01-06-13:18 UTC,64
2016-01-06-13:19 UTC,68
2016-01-06-13:20 UTC,57
2016-01-06-13:21 UTC,74
2016-01-06-13:22 UTC,53
2016-01-06-13:23 UTC,63
2016-01-06-13:24 UTC,84
2016-01-06-13:25 UTC,49
2016-01-06-13:26 UTC,64
2016-01-06-13:27 UTC,35
2016-01-06-13:28 UTC,49
2016-01-06-13:29 UTC,66
2016-01-06-13:30 UTC,63
2016-01-06-13:31 UTC,56
2016-01-06-13:32 UTC,56
2016-01-06-13:33 UTC,45
2016-01-06-13:34 UTC, 
2016-01-06-13:35 UTC, 
2016-01-06-13:36 UTC, 
2016-01-06-13:37 UTC, 
2016-01-06-13:38 UTC, 


Top sub-regions for mind
Sub-region,mind
Wales,100
Northern Ireland,86
England,83
Scotland,60


Top cities for mind
Town/City,mind
Cardiff,100
London,52
Manchester,49
Birmingham,47



Top searches for mind
mind crossword clue,100
calmness of the mind crossword,100
hermit crossword clue,95
sets free crossword clue,85
native plant or person crossword clue,60
bear in mind,60
bare in mind,50



Rising searches for mind
native plant or person crossword clue,+120%
sets free crossword clue,+90%
hermit crossword clue,+40%
mind crossword clue,+40%



