Web Search interest: mind
United Kingdom Past 30 days

Interest over time
Day,mind
2015-12-07,73
2015-12-08,72
2015-12-09,69
2015-12-10,68
2015-12-11,70
2015-12-12,60
2015-12-13,62
2015-12-14,67
2015-12-15,66
2015-12-16,74
2015-12-17,68
2015-12-18,67
2015-12-19,61
2015-12-20,63
2015-12-21,62
2015-12-22,66
2015-12-23,61
2015-12-24,54
2015-12-25,58
2015-12-26,51
2015-12-27,60
2015-12-28,61
2015-12-29,63
2015-12-30,59
2015-12-31,67
2016-01-01,68
2016-01-02,72
2016-01-03,70
2016-01-04,100
2016-01-05, 
2016-01-06, 


Top sub-regions for mind
Sub-region,mind
Wales,100
Northern Ireland,98
England,90
Scotland,88


Top cities for mind
Town/City,mind
Edinburgh,100
Bristol,96
Sheffield,88
Leeds,83
Liverpool,82
Birmingham,82
Manchester,81
Glasgow,79
London,72



Top searches for mind
on my mind,100
mind map,45
mind control,35
mind uk,35
beautiful mind,30
mind games,25
a beautiful mind,25
bear in mind,20
mind charity,20
ellie goulding,15
bare in mind,15






