Web Search interest: example
United Kingdom Past hour

Interest over time
Time,example
2016-01-06-11:25 UTC,84
2016-01-06-11:26 UTC,80
2016-01-06-11:27 UTC,69
2016-01-06-11:28 UTC,65
2016-01-06-11:29 UTC,71
2016-01-06-11:30 UTC,74
2016-01-06-11:31 UTC,76
2016-01-06-11:32 UTC,77
2016-01-06-11:33 UTC,61
2016-01-06-11:34 UTC,83
2016-01-06-11:35 UTC,91
2016-01-06-11:36 UTC,63
2016-01-06-11:37 UTC,80
2016-01-06-11:38 UTC,84
2016-01-06-11:39 UTC,58
2016-01-06-11:40 UTC,83
2016-01-06-11:41 UTC,95
2016-01-06-11:42 UTC,83
2016-01-06-11:43 UTC,67
2016-01-06-11:44 UTC,72
2016-01-06-11:45 UTC,63
2016-01-06-11:46 UTC,70
2016-01-06-11:47 UTC,64
2016-01-06-11:48 UTC,71
2016-01-06-11:49 UTC,72
2016-01-06-11:50 UTC,100
2016-01-06-11:51 UTC,87
2016-01-06-11:52 UTC,66
2016-01-06-11:53 UTC,47
2016-01-06-11:54 UTC,61
2016-01-06-11:55 UTC,60
2016-01-06-11:56 UTC,74
2016-01-06-11:57 UTC,48
2016-01-06-11:58 UTC,50
2016-01-06-11:59 UTC,64
2016-01-06-12:00 UTC,62
2016-01-06-12:01 UTC,60
2016-01-06-12:02 UTC,60
2016-01-06-12:03 UTC,48
2016-01-06-12:04 UTC,61
2016-01-06-12:05 UTC,43
2016-01-06-12:06 UTC,70
2016-01-06-12:07 UTC,70
2016-01-06-12:08 UTC,54
2016-01-06-12:09 UTC,38
2016-01-06-12:10 UTC,47
2016-01-06-12:11 UTC,52
2016-01-06-12:12 UTC, 
2016-01-06-12:13 UTC, 
2016-01-06-12:14 UTC, 
2016-01-06-12:15 UTC, 
2016-01-06-12:16 UTC, 
2016-01-06-12:17 UTC, 
2016-01-06-12:18 UTC, 
2016-01-06-12:19 UTC, 
2016-01-06-12:20 UTC, 
2016-01-06-12:21 UTC, 
2016-01-06-12:22 UTC, 
2016-01-06-12:23 UTC, 
2016-01-06-12:24 UTC, 


Top sub-regions for example
Sub-region,example
Northern Ireland,100
Wales,98
England,96
Scotland,68


Top cities for example
Town/City,example
Bathford,100
Great Dunmow,100
Chagford,78
Bradford,77
Cardiff,56
Brighton,51
Belfast,44
Newcastle upon Tyne,43
Nottingham,41
Bristol,36
Glasgow,33
London,32
Leeds,30
Birmingham,27
Manchester,26









