Web Search interest: fun
United Kingdom Past hour

Interest over time
Time,fun
2016-01-11-14:32 UTC,53
2016-01-11-14:33 UTC,65
2016-01-11-14:34 UTC,68
2016-01-11-14:35 UTC,95
2016-01-11-14:36 UTC,95
2016-01-11-14:37 UTC,86
2016-01-11-14:38 UTC,80
2016-01-11-14:39 UTC,71
2016-01-11-14:40 UTC,91
2016-01-11-14:41 UTC,100
2016-01-11-14:42 UTC,92
2016-01-11-14:43 UTC,91
2016-01-11-14:44 UTC,73
2016-01-11-14:45 UTC,74
2016-01-11-14:46 UTC,65
2016-01-11-14:47 UTC,62
2016-01-11-14:48 UTC,59
2016-01-11-14:49 UTC,85
2016-01-11-14:50 UTC,51
2016-01-11-14:51 UTC,48
2016-01-11-14:52 UTC,78
2016-01-11-14:53 UTC,89
2016-01-11-14:54 UTC,66
2016-01-11-14:55 UTC,75
2016-01-11-14:56 UTC,96
2016-01-11-14:57 UTC,76
2016-01-11-14:58 UTC,64
2016-01-11-14:59 UTC,67
2016-01-11-15:00 UTC,54
2016-01-11-15:01 UTC,57
2016-01-11-15:02 UTC,79
2016-01-11-15:03 UTC,45
2016-01-11-15:04 UTC,64
2016-01-11-15:05 UTC,58
2016-01-11-15:06 UTC,58
2016-01-11-15:07 UTC,49
2016-01-11-15:08 UTC,52
2016-01-11-15:09 UTC,74
2016-01-11-15:10 UTC,46
2016-01-11-15:11 UTC,61
2016-01-11-15:12 UTC,58
2016-01-11-15:13 UTC,85
2016-01-11-15:14 UTC,36
2016-01-11-15:15 UTC,39
2016-01-11-15:16 UTC,33
2016-01-11-15:17 UTC,46
2016-01-11-15:18 UTC,40
2016-01-11-15:19 UTC,43
2016-01-11-15:20 UTC,46
2016-01-11-15:21 UTC,64
2016-01-11-15:22 UTC,34
2016-01-11-15:23 UTC,46
2016-01-11-15:24 UTC,40
2016-01-11-15:25 UTC,27
2016-01-11-15:26 UTC,30
2016-01-11-15:27 UTC,31
2016-01-11-15:28 UTC, 
2016-01-11-15:29 UTC, 
2016-01-11-15:30 UTC, 
2016-01-11-15:31 UTC, 


Top sub-regions for fun
Sub-region,fun
Northern Ireland,100
Scotland,93
England,91
Wales,74


Top cities for fun
Town/City,fun
Bathford,100
Southampton,53
Manchester,36
Sheffield,34
Glasgow,31
Birmingham,25
London,25
Liverpool,25
Edinburgh,23



Top searches for fun
maths is fun,100






