Web Search interest: fun
United Kingdom Past 4 hours

Interest over time
Time,fun
2016-01-11-12:00 UTC,72
2016-01-11-12:08 UTC,72
2016-01-11-12:16 UTC,73
2016-01-11-12:24 UTC,67
2016-01-11-12:32 UTC,60
2016-01-11-12:40 UTC,69
2016-01-11-12:48 UTC,78
2016-01-11-12:56 UTC,65
2016-01-11-13:04 UTC,65
2016-01-11-13:12 UTC,64
2016-01-11-13:20 UTC,89
2016-01-11-13:28 UTC,80
2016-01-11-13:36 UTC,94
2016-01-11-13:44 UTC,87
2016-01-11-13:52 UTC,100
2016-01-11-14:00 UTC,96
2016-01-11-14:08 UTC,88
2016-01-11-14:16 UTC,81
2016-01-11-14:24 UTC,87
2016-01-11-14:32 UTC,94
2016-01-11-14:40 UTC,98
2016-01-11-14:48 UTC,84
2016-01-11-14:56 UTC,84
2016-01-11-15:04 UTC,75
2016-01-11-15:12 UTC,67
2016-01-11-15:20 UTC,66
2016-01-11-15:28 UTC,71
2016-01-11-15:36 UTC,76
2016-01-11-15:44 UTC,54
2016-01-11-15:52 UTC, 


Top sub-regions for fun
Sub-region,fun
Wales,100
Northern Ireland,95
Scotland,92
England,88


Top cities for fun
Town/City,fun
Port Seton,100
Tuxford,50
Cuckfield,32
North Hykeham,27
Burton upon Trent,18
Epsom,17
Holt,17
Dagenham,16
Clayton-le-Woods,15
Bedford,14
Bathford,14
Nether Stowey,13
Brookwood,13
Slough,13
Dartford,13



Top searches for fun
maths is fun,100
fun facts,90
fun things to do in london,60
mobile fun,50
fun bikes,50
fauzia kitchen fun,35
paradise park fun lifestyle hotel,30
fun games,30
fun with languages,25
fun facts for kids,25
jumping for fun,25
girls just wanna have fun,20
lights for fun,20
fun run,20



Rising searches for fun
fun facts for kids,+170%
fun run,+150%
fun things to do in london,+100%
girls just wanna have fun,+90%
fauzia kitchen fun,+80%
lights for fun,+50%
paradise park fun lifestyle hotel,+40%



